"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","04.01.2020 06:00 - 04.01.2020 07:00 (UTC)","298","0","0","5737","655","154","0","0","0","","2507","1221","4301","0","7100","14","100","14","247","0","4419"
"Spain (ES)","04.01.2020 07:00 - 04.01.2020 08:00 (UTC)","307","0","0","5620","671","154","0","0","0","","1331","1234","4372","0","7100","14","103","39","249","0","4464"
"Spain (ES)","04.01.2020 08:00 - 04.01.2020 09:00 (UTC)","315","0","0","5778","695","154","0","0","0","","319","1302","5258","0","7102","15","103","685","250","0","4573"
"Spain (ES)","04.01.2020 09:00 - 04.01.2020 10:00 (UTC)","316","0","0","5845","697","154","0","0","0","","180","1325","5511","0","7101","15","104","2022","248","0","4597"
"Spain (ES)","04.01.2020 10:00 - 04.01.2020 11:00 (UTC)","320","0","0","5672","697","153","0","0","0","","89","1332","5292","0","7101","14","105","3036","246","0","4689"
"Spain (ES)","04.01.2020 11:00 - 04.01.2020 12:00 (UTC)","313","0","0","5682","696","153","0","0","0","","14","1332","4881","0","7100","14","106","3840","250","0","4903"
"Spain (ES)","04.01.2020 12:00 - 04.01.2020 13:00 (UTC)","320","0","0","5315","680","153","0","0","0","","413","1310","4600","0","7099","13","104","4174","249","0","5080"
"Spain (ES)","04.01.2020 13:00 - 04.01.2020 14:00 (UTC)","314","0","0","5470","655","153","0","0","0","","856","1295","4607","0","7097","12","106","4144","250","0","4914"
"Spain (ES)","04.01.2020 14:00 - 04.01.2020 15:00 (UTC)","314","0","0","5360","666","153","0","0","0","","778","1297","4428","0","7097","12","109","3772","250","0","4816"
"Spain (ES)","04.01.2020 15:00 - 04.01.2020 16:00 (UTC)","334","0","0","5467","693","153","0","0","0","","478","1318","4542","0","7097","12","107","2696","249","0","4638"
"Spain (ES)","04.01.2020 16:00 - 04.01.2020 17:00 (UTC)","334","0","0","6032","695","152","0","0","0","","1","1356","5402","0","7098","12","108","1040","263","0","4598"
"Spain (ES)","04.01.2020 17:00 - 04.01.2020 18:00 (UTC)","333","0","0","5889","666","152","0","0","0","","0","1401","5874","0","7097","13","106","111","275","0","5004"
"Spain (ES)","04.01.2020 18:00 - 04.01.2020 19:00 (UTC)","335","0","0","5887","690","153","0","0","0","","0","1395","5885","0","7098","14","107","16","279","0","5262"
"Spain (ES)","04.01.2020 19:00 - 04.01.2020 20:00 (UTC)","335","0","0","6019","695","153","0","0","0","","0","1390","5891","0","7097","14","103","15","276","0","5282"
"Spain (ES)","04.01.2020 20:00 - 04.01.2020 21:00 (UTC)","332","0","0","6137","695","153","0","0","0","","0","1380","5623","0","7097","14","103","14","286","0","5229"
"Spain (ES)","04.01.2020 21:00 - 04.01.2020 22:00 (UTC)","336","0","0","6087","695","153","0","0","0","","0","1341","5248","0","7099","14","102","14","272","0","5054"
"Spain (ES)","04.01.2020 22:00 - 04.01.2020 23:00 (UTC)","328","0","0","5729","694","153","0","0","0","","0","1305","4842","0","7099","13","102","14","271","0","4991"
"Spain (ES)","04.01.2020 23:00 - 05.01.2020 00:00 (UTC)","331","0","0","5772","701","153","0","0","0","","269","1246","4274","0","7099","13","102","14","268","0","4793"
"Spain (ES)","05.01.2020 00:00 - 05.01.2020 01:00 (UTC)","330","0","0","5639","718","153","0","0","0","","733","1204","3510","0","7100","11","100","14","271","0","4254"
"Spain (ES)","05.01.2020 01:00 - 05.01.2020 02:00 (UTC)","328","0","0","5253","758","152","0","0","0","","2081","1186","3362","0","7098","10","99","14","269","0","4035"
"Spain (ES)","05.01.2020 02:00 - 05.01.2020 03:00 (UTC)","331","0","0","5261","817","139","0","0","0","","3238","1176","3374","0","7099","10","101","14","268","0","3940"
"Spain (ES)","05.01.2020 03:00 - 05.01.2020 04:00 (UTC)","329","0","0","5228","842","136","0","0","0","","3558","1177","3406","0","7099","10","99","14","268","0","3826"
"Spain (ES)","05.01.2020 04:00 - 05.01.2020 05:00 (UTC)","331","0","0","5168","845","135","0","0","0","","3556","1174","3377","0","7099","10","100","14","272","0","3745"
"Spain (ES)","05.01.2020 05:00 - 05.01.2020 06:00 (UTC)","330","0","0","5161","845","135","0","0","0","","2952","1176","3584","0","7099","10","98","14","272","0","3703"
"Spain (ES)","05.01.2020 06:00 - 05.01.2020 07:00 (UTC)","330","0","0","5099","845","135","0","0","0","","2142","1179","3717","0","7100","11","100","14","272","0","3671"
"Spain (ES)","05.01.2020 07:00 - 05.01.2020 08:00 (UTC)","334","0","0","5039","845","135","0","0","0","","1221","1192","3612","0","7100","12","103","57","270","0","3442"
"Spain (ES)","05.01.2020 08:00 - 05.01.2020 09:00 (UTC)","332","0","0","5395","874","135","0","0","0","","444","1208","3756","0","7100","12","104","1025","274","0","3095"
"Spain (ES)","05.01.2020 09:00 - 05.01.2020 10:00 (UTC)","343","0","0","5701","888","135","0","0","0","","0","1223","3959","0","7099","14","105","2768","290","0","2591"
"Spain (ES)","05.01.2020 10:00 - 05.01.2020 11:00 (UTC)","332","0","0","5862","887","135","0","0","0","","0","1250","4229","0","7100","13","105","3966","297","0","2479"
"Spain (ES)","05.01.2020 11:00 - 05.01.2020 12:00 (UTC)","329","0","0","5816","885","135","0","0","0","","13","1274","4389","0","7101","13","106","4775","302","0","2241"
"Spain (ES)","05.01.2020 12:00 - 05.01.2020 13:00 (UTC)","332","0","0","5420","870","135","0","0","0","","511","1289","4093","0","7101","14","105","5172","298","0","1900"
"Spain (ES)","05.01.2020 13:00 - 05.01.2020 14:00 (UTC)","337","0","0","5193","870","135","0","0","0","","548","1284","4178","0","7100","14","106","5200","294","0","1669"
"Spain (ES)","05.01.2020 14:00 - 05.01.2020 15:00 (UTC)","332","0","0","5603","869","134","0","0","0","","522","1280","4077","0","7100","14","105","4853","298","0","1503"
"Spain (ES)","05.01.2020 15:00 - 05.01.2020 16:00 (UTC)","330","0","0","5817","875","133","0","0","0","","365","1277","4509","0","7100","14","103","3669","297","0","1400"
"Spain (ES)","05.01.2020 16:00 - 05.01.2020 17:00 (UTC)","337","0","0","6177","901","134","0","0","0","","403","1299","5086","0","7098","14","103","1498","298","0","1432"
"Spain (ES)","05.01.2020 17:00 - 05.01.2020 18:00 (UTC)","339","0","0","6362","905","135","0","0","0","","89","1319","4809","0","7097","14","99","177","301","0","1319"
"Spain (ES)","05.01.2020 18:00 - 05.01.2020 19:00 (UTC)","337","0","0","6643","904","135","0","0","0","","0","1351","5502","0","7099","14","99","39","303","0","1132"
"Spain (ES)","05.01.2020 19:00 - 05.01.2020 20:00 (UTC)","347","0","0","6314","903","134","0","0","0","","0","1366","6719","0","7098","14","98","19","310","0","1041"
"Spain (ES)","05.01.2020 20:00 - 05.01.2020 21:00 (UTC)","369","0","0","6545","904","135","0","0","0","","0","1400","6742","0","7099","14","98","19","312","0","939"
"Spain (ES)","05.01.2020 21:00 - 05.01.2020 22:00 (UTC)","381","0","0","6532","868","134","0","0","0","","0","1457","6424","0","7100","15","96","20","308","0","982"
"Spain (ES)","05.01.2020 22:00 - 05.01.2020 23:00 (UTC)","376","0","0","6572","699","135","0","0","0","","3","1341","5269","0","7101","14","95","20","309","0","1099"
"Spain (ES)","05.01.2020 23:00 - 06.01.2020 00:00 (UTC)","370","0","0","5685","702","140","0","0","0","","99","1285","4235","0","7101","13","96","20","310","0","1215"
"Spain (ES)","06.01.2020 00:00 - 06.01.2020 01:00 (UTC)","361","0","0","5940","692","140","0","0","0","","345","1249","3844","0","7101","13","95","20","315","0","1628"
